date/time,Payment Type,order id,description,total,Transaction Type,Invoice Date,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/7/2024,"Order
",704-2009979-9278353,Product A,912.27,Payment,,,,,,,
6/7/2024,"Order
",304-8583806-8076839,Product A,"1,069.68",Payment,,,,,,,
6/7/2024,"Adjustment
",804-0963015-8195231,FBA Inventory Reimbursement - Customer Service Issue,100.2,Payment,,,,,,,
6/7/2024,"Refund
",704-9435389-0230863,Product A,-454.77,Payment,,,,,,,
6/7/2024,"Order
",304-2971818-4630496,Product A,387.24,Payment,,,,,,,
6/7/2024,"Order
",604-3999798-2374961,Product A,271.78,Payment,,,,,,,
6/7/2024,Fulfilment Fee Refund,404-2120028-1551775,Fulfillment Fee Refund,93.22,Payment,,,,,,,
6/7/2024,"Order
",504-2107154-9334257,Product A,"1,093.12",Payment,,,,,,,
6/7/2024,"Order
",171-3365653-3499012,Product A,379.72,Payment,,,,,,,
6/7/2024,"Order
",504-3202708-1574198,Product A,474.57,Payment,,,,,,,
6/7/2024,"Order
",604-7508623-0670933,Product A,169.65,Payment,,,,,,,
6/7/2024,"Order
",204-6287618-6459952,Product A,"1,016.76",Payment,,,,,,,
6/7/2024,"Adjustment
",404-6128125-6576018,FBA Inventory Reimbursement - Customer Service Issue,774.4,Payment,,,,,,,
6/7/2024,"Order
",304-8069980-7278500,Product A,736.5,Payment,,,,,,,
6/7/2024,"Order
",604-4896640-9634804,Product A,517.42,Payment,,,,,,,
6/7/2024,"Order
",304-7457470-7536592,Product A,"1,300.35",Payment,,,,,,,
6/7/2024,"Order
",704-8908349-0415296,Product A,950.26,Payment,,,,,,,
6/7/2024,"Order
",304-8840188-7093731,Product A,642.51,Payment,,,,,,,
6/7/2024,"Order
",204-4695313-3395408,Product A,"1,360.84",Payment,,,,,,,
6/7/2024,"Order
",204-4695313-3395408,Product A,852.9,Payment,,,,,,,
6/7/2024,"Order
",304-8491949-3195808,Product A,"1,848.85",Payment,,,,,,,
6/7/2024,"Order
",604-1539253-2117740,Product A,340.86,Payment,,,,,,,
6/7/2024,"Order
",204-1884709-1019242,Product A,425.2,Payment,,,,,,,
6/7/2024,"Order
",404-3650839-6059157,Product A,540.9,Payment,,,,,,,
6/7/2024,"Order
",504-4262155-3574391,Product A,750.85,Payment,,,,,,,
6/7/2024,"Order
",504-4262155-3574391,Product A,710.76,Payment,,,,,,,
6/7/2024,"Order
",804-0425912-8557486,Product A,479.75,Payment,,,,,,,
6/7/2024,"Order
",804-0729974-3451987,Product A,-236,Payment,,,,,,,
6/7/2024,"Order
",504-1426797-2478716,Product A,819.98,Payment,,,,,,,
6/7/2024,"Order
",204-9237110-7636335,Product A,"2,160.74",Payment,,,,,,,
6/7/2024,"Order
",204-9940244-0030862,Product A,573.02,Payment,,,,,,,
6/7/2024,"Order
",804-5205839-5517115,Product A,340.09,Payment,,,,,,,
6/7/2024,"Order
",504-5184221-1591897,Product A,"1,074.81",Payment,,,,,,,
6/7/2024,"Order
",704-7626821-8653447,Product A,"1,090.75",Payment,,,,,,,
6/7/2024,"Order
",171-2615010-7493346,Product A,"1,035.87",Payment,,,,,,,
6/7/2024,"Order
",171-5329633-9393966,Product A,"1,630.38",Payment,,,,,,,
6/7/2024,"Order
",404-2110483-8432929,Product A,930.69,Payment,,,,,,,
6/7/2024,"Order
",804-7097451-1497166,Product A,"1,195.11",Payment,,,,,,,
6/7/2024,"Order
",171-4434566-1651593,Product A,969.62,Payment,,,,,,,
6/7/2024,"Order
",171-0858344-8676856,Product A,932.4,Payment,,,,,,,
6/7/2024,"Order
",204-6027945-1199425,Product A,"1,228.08",Payment,,,,,,,
6/7/2024,"Order
",204-6027945-1199425,Product A,"1,681.91",Payment,,,,,,,
6/7/2024,"Order
",604-0096332-0259363,Product A,443.3,Payment,,,,,,,
6/7/2024,"Adjustment
",204-4279445-7172894,FBA Inventory Reimbursement - Customer Service Issue,168.4,Payment,,,,,,,
6/7/2024,"Order
",804-8397021-8493522,Product A,"3,054.86",Payment,,,,,,,
6/7/2024,"Order
",404-0225645-1436592,Product A,"1,376.34",Payment,,,,,,,
6/7/2024,"Order
",204-4333929-6032111,Product A,"1,139.07",Payment,,,,,,,
6/7/2024,"Order
",204-1601183-1634462,Product A,"1,379.15",Payment,,,,,,,
6/7/2024,"Order
",704-8735144-0311435,Product A,379.72,Payment,,,,,,,
6/7/2024,"Order
",704-9018210-1430816,Product A,937.35,Payment,,,,,,,
6/7/2024,"Order
",804-8410462-6411602,Product A,"1,848.85",Payment,,,,,,,
6/7/2024,"Order
",604-2028333-8174174,Product A,"1,021.04",Payment,,,,,,,
6/7/2024,"Order
",604-5653593-0417773,Product A,"1,564.49",Payment,,,,,,,
6/7/2024,"Order
",804-8176230-7051936,Product A,908.89,Payment,,,,,,,
6/7/2024,"Order
",704-5364044-3355906,Product A,357.21,Payment,,,,,,,
6/7/2024,"Order
",804-8685296-6255968,Product A,957.85,Payment,,,,,,,
6/7/2024,"Order
",804-6203931-0499820,Product A,"1,891.08",Payment,,,,,,,
6/7/2024,"Order
",404-0674037-4234457,Product A,759.55,Payment,,,,,,,
6/7/2024,"Order
",304-4053357-1091632,Product A,"2,610.41",Payment,,,,,,,
6/7/2024,"Order
",504-6719940-9393149,Product A,969.62,Payment,,,,,,,
6/7/2024,"Order
",604-8959025-8199263,Product A,"1,685.93",Payment,,,,,,,
6/7/2024,"Order
",804-0195097-2074705,Product A,373.91,Payment,,,,,,,
6/7/2024,"Order
",804-0195097-2074705,Product A,"1,132.84",Payment,,,,,,,
6/7/2024,"Order
",804-0195097-2074705,Product A,"2,800.83",Payment,,,,,,,
6/7/2024,"Order
",304-6678404-0174752,Product A,236.27,Payment,,,,,,,
6/7/2024,"Order
",804-7256287-4417975,Product A,491.37,Payment,,,,,,,
6/7/2024,"Order
",204-0696340-1097542,Product A,449.47,Payment,,,,,,,
6/7/2024,"Order
",171-1203595-4534856,Product A,"2,049.45",Payment,,,,,,,
6/7/2024,"Order
",504-9381083-7411679,Product A,908.58,Payment,,,,,,,
6/7/2024,"Order
",404-9329837-7697157,Product A,"1,940.66",Payment,,,,,,,
6/7/2024,"Order
",504-9094525-7470514,Product A,774.28,Payment,,,,,,,
6/7/2024,"Order
",504-9094525-7470514,Product A,562.5,Payment,,,,,,,
6/7/2024,"Order
",504-9094525-7470514,Product A,704.05,Payment,,,,,,,
6/7/2024,"Order
",404-9707075-1313584,Product A,908.58,Payment,,,,,,,
6/7/2024,"Order
",304-5949787-1030480,Product A,"1,379.16",Payment,,,,,,,
6/7/2024,"Order
",504-7881213-1451155,Product A,"1,390.70",Payment,,,,,,,
6/7/2024,"Order
",504-7881213-1451155,Product A,"1,365.84",Payment,,,,,,,
6/7/2024,"Order
",204-7634024-3313101,Product A,"1,460.68",Payment,,,,,,,
6/7/2024,"Order
",804-6672434-9213924,Product A,229.59,Payment,,,,,,,
6/7/2024,"Order
",304-0783255-3399414,Product A,"1,246.25",Payment,,,,,,,
6/7/2024,"Order
",204-1506121-0217320,Product A,950.85,Payment,,,,,,,
6/7/2024,"Order
",204-8425944-2559506,Product A,457.6,Payment,,,,,,,
6/7/2024,"Order
",304-2031951-2217390,Product A,471.16,Payment,,,,,,,
6/7/2024,"Order
",304-2031951-2217390,Product A,559.51,Payment,,,,,,,
6/7/2024,"Order
",304-2031951-2217390,Product A,440.01,Payment,,,,,,,
6/7/2024,"Order
",304-2031951-2217390,Product A,"1,261.25",Payment,,,,,,,
6/7/2024,"Order
",604-5577039-0213108,Product A,681.36,Payment,,,,,,,
6/7/2024,"Order
",804-3935047-6555984,Product A,769.63,Payment,,,,,,,
6/7/2024,"Order
",804-3935047-6555984,Product A,"1,958.76",Payment,,,,,,,
6/7/2024,"Order
",804-7131941-8332542,Product A,-127.91,Payment,,,,,,,
6/7/2024,"Order
",804-7131941-8332542,Product A,-111.7,Payment,,,,,,,
6/7/2024,"Order
",804-7131941-8332542,Product A,-180.29,Payment,,,,,,,
6/7/2024,"Order
",804-7131941-8332542,Product A,-121.72,Payment,,,,,,,
6/7/2024,"Refund
",404-2120028-1551775,Product A,-334.53,Payment,,,,,,,
6/7/2024,"Order
",171-5463994-5617399,Product A,414.15,Payment,,,,,,,
6/7/2024,"Order
",404-4255387-3236793,Product A,959.63,Payment,,,,,,,
6/7/2024,"Refund
",604-4944932-9093188,Product A,"-1,317.39",Payment,,,,,,,
6/7/2024,"Order
",304-7076280-1695081,Product A,"1,114.35",Payment,,,,,,,
6/7/2024,"Order
",704-6416790-2451319,Product A,239.7,Payment,,,,,,,
6/7/2024,"Order
",204-2987832-3095497,Product A,206.64,Payment,,,,,,,
6/7/2024,"Refund
",504-3557951-8274998,Product A,-489.64,Payment,,,,,,,
6/7/2024,"Order
",504-5486159-4470938,Product A,407.43,Payment,,,,,,,
6/7/2024,"Adjustment
",804-3462994-4138682,FBA Inventory Reimbursement - Customer Return,163.46,Payment,,,,,,,
6/7/2024,"Refund
",304-5074731-5474166,Product A,"-1,607.29",Payment,,,,,,,
6/7/2024,"Refund
",204-3890062-5453679,Product A,"-1,631.19",Payment,,,,,,,
6/7/2024,"Order
",404-6498607-8232341,Product A,825.66,Payment,,,,,,,
6/7/2024,"Order
",204-7885986-7493392,Product A,480.71,Payment,,,,,,,
6/7/2024,"Service Fee
",,Cost of Advertising,"-2,900.29",Payment,,,,,,,
6/7/2024,"Refund
",704-2588939-7591219,Product A,-689.98,Payment,,,,,,,
6/7/2024,"Order
",704-7718014-2070577,Product A,489.45,Payment,,,,,,,
6/7/2024,"Refund
",804-5566803-1251939,Product A,-76.03,Payment,,,,,,,
6/7/2024,"Order
",304-6111199-5576626,Product A,858.08,Payment,,,,,,,
6/7/2024,"Order
",304-1160332-8472022,Product A,207.36,Payment,,,,,,,
